1.9661,536.9707,1079.8725,268.4012,0.5226,0.5669,62.2484,561.029,610.2416,7.9611,2
7.0962,4.0077,21.229,0.5207,0.3572,0.5706,4.8157,9.502,20.3196,1.3635,1
28.95,60.9659,1745.381,2.1142,0.1205,0.431,2.5705,217.6335,755.0112,120.2366,5
14.6543,252.9801,3538.073,18.1438,0.3717,0.8266,4.8505,1310.11,2924.2508,303.7675,1
6.7679,191.0294,1346.516,27.257,0.3067,0.7475,1.4904,410.416,1002.5916,246.4279,1
8.394,11.9636,110.9325,1.436,0.458,0.6657,4.4166,48.647,58.088,12.3258,1
9.8085,336.0116,3358.8465,33.5978,0.1631,0.6226,-0.1044,547.8065,2089.9244,414.5967,1
11.4996,260.9933,2876.6865,23.6976,0.2524,0.661,3.0735,719.665,1891.92,361.757,1
9.0747,33.9934,328.8495,3.8609,0.3367,0.8163,2.6486,105.117,244.6964,57.7667,1
5.2629,29.0395,205.62,4.8088,0.3061,0.9667,2.2582,47.9515,162.8692,44.0175,1
10.9336,50.9961,485.871,5.0875,0.4107,0.6681,2.6155,203.583,343.702,66.5803,1
7.9221,0.9873,-8.6105,0.1219,0.9995,0.9993,7.5256,12.2975,6.4296,3.0,4
2.9301,32.9805,211.6305,5.4882,0.5189,0.9951,3.8229,103.9185,197.5068,44.7673,1
9.9146,20.0016,205.091,2.0515,0.4851,0.6793,7.8172,101.808,137.5768,12.7825,1
11.3833,31.9835,343.337,3.1926,0.3057,0.7885,2.6402,104.168,247.0744,57.8647,1
4.7071,5.0301,11.1565,0.8892,0.28,0.7203,3.3637,14.1525,21.8472,3.34,1
12.9629,409.0117,5698.7405,29.2264,0.1729,0.5778,0.4436,987.981,3304.0136,549.8667,1
0.6214,45.0248,49.146,45.0303,0.1993,0.9997,1.398,7.3925,42.1244,8.0355,1
5.259,38.011,274.763,5.3811,0.4141,0.8456,3.888,114.4795,232.7484,46.0592,1
9.1332,535.0382,4794.0525,59.4991,0.1465,0.6343,1.1126,703.571,3054.5396,533.7387,1
10.5117,6.0041,51.6,0.6445,0.4331,1.0,3.0679,34.8505,60.0192,9.0724,1
9.2707,19.9691,187.0115,2.0183,0.4344,0.8898,3.1294,88.64,178.338,31.6008,1
